id,title,description,category,priority,status,source_section,verification_method,acceptance_criteria,dependencies,metadata
REQ_H18_011,have a lifetime of at least 40 years,have a lifetime of at least 40 years,Performance,Low,Draft,H18 - Lifetime and annual maintenance schedule,Inspection,To be defined,[],"{'extracted_from': 'H18', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H18_012,support ≥ 50 warm-up/cool-down cycles (300 K ↔ 2 K),support ≥ 50 warm-up/cool-down cycles (300 K ↔ 2 K),General,Low,Draft,H18 - Lifetime and annual maintenance schedule,Inspection,To be defined,[],"{'extracted_from': 'H18', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H19_013,support the steady state operational scenarios defined in Table 2.,support the steady state operational scenarios defined in Table 2.,Functional,Low,Draft,H19 - Steady state operational scenarios,Inspection,To be defined,[],"{'extracted_from': 'H19', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H20_014,support the scenario transitions given in Figure 6.,support the scenario transitions given in Figure 6.,General,Low,Draft,H20 - Transient operational scenarios,Inspection,To be defined,[],"{'extracted_from': 'H20', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H20_015,execute the transition using the capacity defined by the steady state scenarios. No additional capac...,execute the transition using the capacity defined by the steady state scenarios. No additional capacity shall be added solely for acceleration of state transitions.,General,Low,Draft,H20 - Transient operational scenarios,Inspection,To be defined,[],"{'extracted_from': 'H20', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H21_016,requirement on the user side,requirement on the user side,General,Low,Draft,H21 - Cool-down,Inspection,To be defined,[],"{'extracted_from': 'H21', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H21_017,perform the cool-down of the QPLANT simultaneously with the cryogenic users (QCELL and QDIST (static...,perform the cool-down of the QPLANT simultaneously with the cryogenic users (QCELL and QDIST (static heat loads only).,General,Low,Draft,H21 - Cool-down,Inspection,To be defined,[],"{'extracted_from': 'H21', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H21_018,"facilitate parallel cool down/warm up of all QCELLs.  During cooldown and warm-up, cryomodules impos...","facilitate parallel cool down/warm up of all QCELLs.  During cooldown and warm-up, cryomodules impose constraints:",General,Low,Draft,H21 - Cool-down,Inspection,To be defined,[],"{'extracted_from': 'H21', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H21_019,facilitate an alternative cooldown in which only  the thermal-shield (TS) circuit is cooled until th...,facilitate an alternative cooldown in which only  the thermal-shield (TS) circuit is cooled until their average temperature reaches 50 K. Subsequently the headers A–B and D–E  are simultaneous cooled down,General,Low,Draft,H21 - Cool-down,Inspection,To be defined,[],"{'extracted_from': 'H21', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H21_020,reach T < 70 K before cavities reach T < 10 K.,reach T < 70 K before cavities reach T < 10 K.,General,Low,Draft,H21 - Cool-down,Inspection,To be defined,[],"{'extracted_from': 'H21', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H22_021,facilitate the warm-up of the cryogenic users from 2 K to 300 K in less than 5 days.,facilitate the warm-up of the cryogenic users from 2 K to 300 K in less than 5 days.,General,Low,Draft,H22 - Warm-Up,Inspection,To be defined,[],"{'extracted_from': 'H22', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H22_022,"support the transition shown in Figure 6 for the warming-up of the cryogenic users, whether passivel...","support the transition shown in Figure 6 for the warming-up of the cryogenic users, whether passively or actively (with QCELL heaters if available):",General,Low,Draft,H22 - Warm-Up,Inspection,To be defined,[],"{'extracted_from': 'H22', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H22_023,indicate and motivate the expected duration of each main phase of the warm-up process.,indicate and motivate the expected duration of each main phase of the warm-up process.,General,Low,Draft,H22 - Warm-Up,Inspection,To be defined,[],"{'extracted_from': 'H22', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_024,"provide a detailed step-by-step procedure, including instrumentation checks, purge-gas quality requi...","provide a detailed step-by-step procedure, including instrumentation checks, purge-gas quality requirements, vent routing, and acceptance criteria for oxygen-free readiness.",General,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_025,"adhere to the purge-parameter table (pressure, flow-rate, duration, allowable residual O₂) provided ...","adhere to the purge-parameter table (pressure, flow-rate, duration, allowable residual O₂) provided by SCK CEN during contract execution.",General,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_026,facilitate an average retention rate of 0.8 g/s LHe per individual QCELL (24 g/s total) during the f...,facilitate an average retention rate of 0.8 g/s LHe per individual QCELL (24 g/s total) during the filling process.,General,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_027,provide 2 900 L of LHe to the users.,provide 2 900 L of LHe to the users.,General,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_028,assume that LHe filling and emptying occurs when cryogenic users are at 4.5 K and header A condition...,assume that LHe filling and emptying occurs when cryogenic users are at 4.5 K and header A conditions are met before JT expansion (as per QRB-A interface conditions during normal operation),Interface,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_029,facilitate the following two evaporation possibilities:,facilitate the following two evaporation possibilities:,General,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H24_030,be considered both as part of the full warm-up sequence (2 K → 300 K) and as a stand-alone transitio...,be considered both as part of the full warm-up sequence (2 K → 300 K) and as a stand-alone transitional operation (for example: 2 K Standby → 4.5 K Standby → 4.5 K Empty → 4.5 K Standby) to permit short maintenance windows. See Figure 5 for the state-transition diagram.,Functional,Low,Draft,H24 - Purging and Conditioning,Inspection,To be defined,[],"{'extracted_from': 'H24', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H25_031,be sized for the following two Design Points:,be sized for the following two Design Points:,General,Low,Draft,H25 - Performance Requirements,Inspection,To be defined,[],"{'extracted_from': 'H25', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H25_032,be designed for the heat loads defined in Table 3.,be designed for the heat loads defined in Table 3.,General,Low,Draft,H25 - Performance Requirements,Inspection,To be defined,[],"{'extracted_from': 'H25', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H25_033,"support the fluid conditions at the QRB interface for HP-A, VLP-B and CPLR-W listed in Table 4.","support the fluid conditions at the QRB interface for HP-A, VLP-B and CPLR-W listed in Table 4.",Interface,Low,Draft,H25 - Performance Requirements,Inspection,To be defined,[],"{'extracted_from': 'H25', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H25_034,"optimize the mass flow, temperatures, and pressures to improve the overall efficiency or capital inv...","optimize the mass flow, temperatures, and pressures to improve the overall efficiency or capital investment. The respective values listed in in Table 4 are the only indicative values.",Interface,Low,Draft,H25 - Performance Requirements,Inspection,To be defined,[],"{'extracted_from': 'H25', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H25_035,"indicate the mass flow, temperatures, and pressures of the Thermal Shield circuits.","indicate the mass flow, temperatures, and pressures of the Thermal Shield circuits.",General,Low,Draft,H25 - Performance Requirements,Inspection,To be defined,[],"{'extracted_from': 'H25', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_036,apply proven processes and be based on industrially proven technologies.,apply proven processes and be based on industrially proven technologies.,General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_037,be higher than 5 years.,be higher than 5 years.,General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_038,be higher than 10 years.,be higher than 10 years.,General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_039,be higher than 15 years.,be higher than 15 years.,General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_040,"provide a substantiated justification for the MTBF of the QPLANT, including but not limited to:","provide a substantiated justification for the MTBF of the QPLANT, including but not limited to:",General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_041,be provided for the LOOP and at least one other scenario (main interfacing valves of QRB and WCS),be provided for the LOOP and at least one other scenario (main interfacing valves of QRB and WCS),General,Low,Draft,H26 - Reliability Requirements,Inspection,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H26_042,submit the detailed MTBF calculation demonstrating the compliance of the detailed design with the MT...,"submit the detailed MTBF calculation demonstrating the compliance of the detailed design with the MTBF requirements to SCK CEN for review and subsequent approval. The Contractor shall substantiate the MTBF values by manufacturer data (OEM or COTS), field performance records, or predictive reliability models. The level of detail shall be proportionate to the component’s criticality in the overall system reliability and availability architecture.  The Contractor shall also provide a component-level (LRU) replacement schedule for the expected lifetime duration of at least 40 years, including MTBF data, estimated downtime impact, and cost per intervention.",Performance,High,Draft,H26 - Reliability Requirements,Review,To be defined,[],"{'extracted_from': 'H26', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H27_043,describe and justify the system architecture and configuration and provide the key specifications of...,describe and justify the system architecture and configuration and provide the key specifications of the main components,General,Low,Draft,H27 - QPLANT Design & Construction Requirements,Inspection,To be defined,[],"{'extracted_from': 'H27', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H28_044,be stated as absolute values in bar(a) or mbar(a),be stated as absolute values in bar(a) or mbar(a),General,Low,Draft,H28 - Units,Inspection,To be defined,[],"{'extracted_from': 'H28', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H28_045,"follow the International System of Units (SI), with exception of flow in g/s (not kg/s)","follow the International System of Units (SI), with exception of flow in g/s (not kg/s)",General,Low,Draft,H28 - Units,Inspection,To be defined,[],"{'extracted_from': 'H28', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_046,"deliver a detailed 3D CAD model of the QPLANT and associated components to ensure interoperability, ...","deliver a detailed 3D CAD model of the QPLANT and associated components to ensure interoperability, detailed design accuracy, and lifecycle integration:",Interface,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_047,submit a preliminary 3D model in the Concept Design phase.,submit a preliminary 3D model in the Concept Design phase.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_048,be STEP AP242 format,be STEP AP242 format,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_049,be at least LOD 200.,be at least LOD 200.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_050,include a first indication of the location of all external interfaces (to SCK CEN support systems an...,include a first indication of the location of all external interfaces (to SCK CEN support systems and infrastructure and QLM),Interface,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_051,submit an updated 3D model in the Final Design phase.,submit an updated 3D model in the Final Design phase.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_052,be STEP AP242 format.,be STEP AP242 format.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_053,"include metadata such as component IDs, geometric data, material properties, kinematic information, ...","include metadata such as component IDs, geometric data, material properties, kinematic information, assembly information.",General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_054,be 400 (final installation-ready models).,be 400 (final installation-ready models).,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_055,include the terminal points to the SCK CEN provided site infrastructure and support systems (water c...,"include the terminal points to the SCK CEN provided site infrastructure and support systems (water cooling, MIT, ….).",General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_056,submit an as built 3D model before the FAT.,submit an as built 3D model before the FAT.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_057,present the tools that he shall implement to allow SCK CEN to review the models (SCK CEN internally ...,present the tools that he shall implement to allow SCK CEN to review the models (SCK CEN internally uses BIMS 360 and PTC CREO).,General,Low,Draft,H29 - 3D Model,Review,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H29_058,provide a preliminary model of the QPLANT with at least LOD 100 in STEP AP242 format.,provide a preliminary model of the QPLANT with at least LOD 100 in STEP AP242 format.,General,Low,Draft,H29 - 3D Model,Inspection,To be defined,[],"{'extracted_from': 'H29', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_059,have a invCOP ≤ 380 W/W  at the Nominal Design Point.,have a invCOP ≤ 380 W/W  at the Nominal Design Point.,General,Low,Draft,H30 - Energy-efficiency,Inspection,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_060,"trigger contractual review, including performance non-conformity, penalties, or corrective actions.","trigger contractual review, including performance non-conformity, penalties, or corrective actions.",Performance,Low,Draft,H30 - Energy-efficiency,Review,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_061,"state and substantiate the invCOP for the all operational scenarios, both for initial (24 QCELLs) an...","state and substantiate the invCOP for the all operational scenarios, both for initial (24 QCELLs) and nominal design (30 QCELLs) configurations. Lower invCOP values are considered an advantage.",Functional,Low,Draft,H30 - Energy-efficiency,Inspection,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_062,validate compliance of the QPLANT to the invCOP that the Contractor committed to in their offer. The...,"validate compliance of the QPLANT to the invCOP that the Contractor committed to in their offer. The Contractor shall apply mutually agreed calorimetric, flow-based, or standardized test methods (e.g., ISO 5167, EN 13445).",General,Low,Draft,H30 - Energy-efficiency,Testing,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_063,"include the electrical power measurement method they will apply within the QPLANT, specifying the le...","include the electrical power measurement method they will apply within the QPLANT, specifying the level of integration (e.g., total plant consumption including auxiliaries, compressors, control systems) and the measurement uncertainty.",Interface,Low,Draft,H30 - Energy-efficiency,Inspection,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H30_064,"specify the corresponding reciprocal measurement methodology expected to be applied by SCK CEN, to v...","specify the corresponding reciprocal measurement methodology expected to be applied by SCK CEN, to validate claimed energy figures",General,Low,Draft,H30 - Energy-efficiency,Inspection,To be defined,[],"{'extracted_from': 'H30', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H32_065,be delivered with traceable certificates.,be delivered with traceable certificates.,General,Low,Draft,H32 - Material Requirements,Inspection,To be defined,[],"{'extracted_from': 'H32', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H32_066,follow the specifications in AD 4.,follow the specifications in AD 4.,General,Low,Draft,H32 - Material Requirements,Inspection,To be defined,[],"{'extracted_from': 'H32', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H33_067,"be avoided through proper piping design.  If unavoidable, the Contractor shall seek SCK CEN approval...","be avoided through proper piping design.  If unavoidable, the Contractor shall seek SCK CEN approval for the location and type of bellows.",General,Low,Draft,H33 - Bellows,Inspection,To be defined,[],"{'extracted_from': 'H33', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H33_068,include a preliminary list of unavoidable bellows (if any).,include a preliminary list of unavoidable bellows (if any).,General,Low,Draft,H33 - Bellows,Inspection,To be defined,[],"{'extracted_from': 'H33', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H34_069,"be subject to approval by SCK CEN.  At ambient temperature, metal and Viton O-rings are allowed.","be subject to approval by SCK CEN.  At ambient temperature, metal and Viton O-rings are allowed.",General,Low,Draft,H34 - Joints and seals,Inspection,To be defined,[],"{'extracted_from': 'H34', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_070,"be of the extended-spindle type, sealing by metallic bellows.","be of the extended-spindle type, sealing by metallic bellows.",General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_071,follow AD 9.,follow AD 9.,General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_072,"be employed for nominal sizes up to and including DN100, unless otherwise justified by process or sa...","be employed for nominal sizes up to and including DN100, unless otherwise justified by process or safety requirements.",General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_073,"be employed for nominal sizes above DN100, except where specific process conditions (such as full ti...","be employed for nominal sizes above DN100, except where specific process conditions (such as full tightness at cryogenic temperature, or throttling requirements) necessitate alternative selection.",General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_074,"be compatible with helium at all specified temperatures, including resistance to embrittlement, perm...","be compatible with helium at all specified temperatures, including resistance to embrittlement, permeation, and thermal contraction.",General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_075,submit documentation of type testing or qualification records demonstrating suitability for helium a...,"submit documentation of type testing or qualification records demonstrating suitability for helium and cryogenic operation, in accordance with EN 1626, EN 12516-1/2 as part of the conceptual design file in L1",Functional,Low,Draft,H35 - Valve requirements,Testing,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_076,be equipped with,be equipped with,General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_077,be continuously monitored by the QPLANT:CIS.,be continuously monitored by the QPLANT:CIS.,General,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H35_078,be equipped with two independent end-switches confirming their mechanical position (open/closed) dur...,be equipped with two independent end-switches confirming their mechanical position (open/closed) during operation.  The Contractor shall submit the list of such valves for SCK CEN approval during the detailed-design phase.,Functional,Low,Draft,H35 - Valve requirements,Inspection,To be defined,[],"{'extracted_from': 'H35', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H36_079,be protected from air ingress by a helium guard filled with helium with a pressure higher than 1.05 ...,be protected from air ingress by a helium guard filled with helium with a pressure higher than 1.05 Bar(a).,General,Low,Draft,H36 - Helium guard,Inspection,To be defined,[],"{'extracted_from': 'H36', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H36_080,equipped with a manual isolation valve to help locate leaks.,equipped with a manual isolation valve to help locate leaks.,General,Low,Draft,H36 - Helium guard,Inspection,To be defined,[],"{'extracted_from': 'H36', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H36_081,be remotely monitored by a pressure transmitter which is connected to the QPLANT:CIS.,be remotely monitored by a pressure transmitter which is connected to the QPLANT:CIS.,General,Low,Draft,H36 - Helium guard,Inspection,To be defined,[],"{'extracted_from': 'H36', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H36_082,be doubled. The space between the seals shall have a connection to the helium guard system.,be doubled. The space between the seals shall have a connection to the helium guard system.,General,Low,Draft,H36 - Helium guard,Inspection,To be defined,[],"{'extracted_from': 'H36', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_083,be equipped with a dedicated vacuum pumping system.,be equipped with a dedicated vacuum pumping system.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_084,take less than one week.,take less than one week.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_085,be protected by a fast-acting isolation valve between the turbo pump and associated roughing pump.,be protected by a fast-acting isolation valve between the turbo pump and associated roughing pump.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_086,be provided between the Turbo- and associated roughing pump for connection of a leak detector.,be provided between the Turbo- and associated roughing pump for connection of a leak detector.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_087,be fully automated.,be fully automated.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_088,fully exposed to MCS.,fully exposed to MCS.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H37_089,be collected and sent outside the building via a dedicated pipe.,be collected and sent outside the building via a dedicated pipe.,General,Low,Draft,H37 - Insulation vacuum system of the QRB,Inspection,To be defined,[],"{'extracted_from': 'H37', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H38_090,furnish and install all instrumentation required to:,furnish and install all instrumentation required to:,General,Low,Draft,H38 - Instrumentation,Inspection,To be defined,[],"{'extracted_from': 'H38', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H38_091,"demonstrate, by reference to internationally recognised calibration certificates or equivalent trace...","demonstrate, by reference to internationally recognised calibration certificates or equivalent traceable documentation, that every measuring instrument supplied is suitable for its intended purpose.",General,Low,Draft,H38 - Instrumentation,Inspection,To be defined,[],"{'extracted_from': 'H38', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
